"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","West Siang","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","West Siang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","West Siang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Baksa","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Baksa","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Baksa","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Barpeta","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Barpeta","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Barpeta","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Biswanath","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Biswanath","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Biswanath","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Bongaigaon","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Bongaigaon","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Bongaigaon","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Cachar","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Cachar","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Cachar","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Charaideo","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Charaideo","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Charaideo","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Chirang","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Chirang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Chirang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Darrang","2024-01-01","2024","01","NA","IMD GRID MODEL"
